Time,SpO2(%),Pulse Rate(bpm),Motion,SpO2 Reminder,PR Reminder,Unnamed: 6
"05:51:14AM Feb 7, 2022",97,66,0,0,0,
"05:51:18AM Feb 7, 2022",97,67,0,0,0,
"05:51:22AM Feb 7, 2022",97,67,0,0,0,
"05:51:26AM Feb 7, 2022",97,73,0,0,0,
"05:51:30AM Feb 7, 2022",97,73,0,0,0,
"05:51:34AM Feb 7, 2022",97,70,0,0,0,
"05:51:38AM Feb 7, 2022",97,72,0,0,0,
"05:51:42AM Feb 7, 2022",97,76,0,0,0,
"05:51:46AM Feb 7, 2022",97,75,0,0,0,
"05:51:50AM Feb 7, 2022",97,76,0,0,0,
"05:51:54AM Feb 7, 2022",97,73,0,0,0,
"05:51:58AM Feb 7, 2022",96,68,0,0,0,
"05:52:02AM Feb 7, 2022",96,73,0,0,0,
"05:52:06AM Feb 7, 2022",96,79,0,0,0,
"05:52:10AM Feb 7, 2022",97,80,0,0,0,
"05:52:14AM Feb 7, 2022",97,77,0,0,0,
"05:52:18AM Feb 7, 2022",97,77,0,0,0,
"05:52:22AM Feb 7, 2022",96,71,0,0,0,
"05:52:26AM Feb 7, 2022",96,73,0,0,0,
"05:52:30AM Feb 7, 2022",97,82,0,0,0,
"05:52:34AM Feb 7, 2022",96,76,0,0,0,
"05:52:38AM Feb 7, 2022",96,70,0,0,0,
"05:52:42AM Feb 7, 2022",96,74,0,0,0,
"05:52:46AM Feb 7, 2022",96,78,0,0,0,
"05:52:50AM Feb 7, 2022",97,70,0,0,0,
"05:52:54AM Feb 7, 2022",97,73,0,0,0,
"05:52:58AM Feb 7, 2022",97,80,0,0,0,
"05:53:02AM Feb 7, 2022",97,74,0,0,0,
"05:53:06AM Feb 7, 2022",97,74,0,0,0,
"05:53:10AM Feb 7, 2022",97,71,0,0,0,
"05:53:14AM Feb 7, 2022",97,75,0,0,0,
"05:53:18AM Feb 7, 2022",97,76,0,0,0,
"05:53:22AM Feb 7, 2022",96,74,0,0,0,
"05:53:26AM Feb 7, 2022",96,71,0,0,0,
"05:53:30AM Feb 7, 2022",96,71,0,0,0,
"05:53:34AM Feb 7, 2022",96,72,0,0,0,
"05:53:38AM Feb 7, 2022",97,66,0,0,0,
"05:53:42AM Feb 7, 2022",97,66,0,0,0,
"05:53:46AM Feb 7, 2022",96,74,0,0,0,
"05:53:50AM Feb 7, 2022",96,79,0,0,0,
"05:53:54AM Feb 7, 2022",97,73,0,0,0,
"05:53:58AM Feb 7, 2022",97,75,0,0,0,
"05:54:02AM Feb 7, 2022",97,78,0,0,0,
"05:54:06AM Feb 7, 2022",97,81,0,0,0,
"05:54:10AM Feb 7, 2022",97,77,0,0,0,
"05:54:14AM Feb 7, 2022",97,74,0,0,0,
"05:54:18AM Feb 7, 2022",96,74,0,0,0,
"05:54:22AM Feb 7, 2022",96,74,0,0,0,
"05:54:26AM Feb 7, 2022",96,71,0,0,0,
"05:54:30AM Feb 7, 2022",97,75,0,0,0,
"05:54:34AM Feb 7, 2022",97,78,0,0,0,
"05:54:38AM Feb 7, 2022",97,75,0,0,0,
"05:54:42AM Feb 7, 2022",97,75,0,0,0,
"05:54:46AM Feb 7, 2022",97,77,0,0,0,
"05:54:50AM Feb 7, 2022",97,68,0,0,0,
"05:54:54AM Feb 7, 2022",96,67,0,0,0,
"05:54:58AM Feb 7, 2022",97,69,0,0,0,
"05:55:02AM Feb 7, 2022",97,76,0,0,0,
"05:55:06AM Feb 7, 2022",97,76,0,0,0,
"05:55:10AM Feb 7, 2022",96,73,0,0,0,
"05:55:14AM Feb 7, 2022",96,68,0,0,0,
"05:55:18AM Feb 7, 2022",96,71,0,0,0,
"05:55:22AM Feb 7, 2022",97,65,0,0,0,
"05:55:26AM Feb 7, 2022",97,68,0,0,0,
"05:55:30AM Feb 7, 2022",97,72,0,0,0,
"05:55:34AM Feb 7, 2022",97,78,0,0,0,
"05:55:38AM Feb 7, 2022",97,77,0,0,0,
"05:55:42AM Feb 7, 2022",97,75,0,0,0,
"05:55:46AM Feb 7, 2022",97,70,0,0,0,
"05:55:50AM Feb 7, 2022",97,63,0,0,0,
"05:55:54AM Feb 7, 2022",97,72,0,0,0,
"05:55:58AM Feb 7, 2022",97,73,0,0,0,
"05:56:02AM Feb 7, 2022",97,69,0,0,0,
"05:56:06AM Feb 7, 2022",97,74,0,0,0,
"05:56:10AM Feb 7, 2022",97,77,0,0,0,
